rides_per_month,start_hour,member_casual
20670,0,casual
27581,1,casual
19639,2,casual
10185,3,casual
6557,4,casual
6973,5,casual
17949,6,casual
38310,7,casual
63716,8,casual
69787,9,casual
79009,10,casual
99563,11,casual
127802,12,casual
137098,13,casual
141651,14,casual
150748,15,casual
171117,16,casual
193500,17,casual
185242,18,casual
147648,19,casual
105684,20,casual
80555,21,casual
72292,22,casual
76110,23,casual
20516,0,member
25956,1,member
16200,2,member
9303,3,member
7309,4,member
16159,5,member
64529,6,member
148925,7,member
238802,8,member
207916,9,member
151698,10,member
160534,11,member
198685,12,member
204368,13,member
202218,14,member
222966,15,member
288766,16,member
386489,17,member
349203,18,member
259949,19,member
177807,20,member
132987,21,member
102081,22,member
91629,23,member
