rides_per_month,month,member_casual,num
120413,JANUARY,member,0
24460,JANUARY,casual,0
176001,FEBRUARY,member,1
47163,FEBRUARY,casual,1
219137,MARCH,member,2
82550,MARCH,casual,2
131810,APRIL,casual,3
283215,APRIL,member,3
231150,MAY,casual,4
378554,MAY,member,4
300995,JUNE,casual,5
409515,JUNE,member,5
331358,JULY,casual,6
436292,JULY,member,6
460563,AUGUST,member,7
311130,AUGUST,casual,7
404736,SEPTEMBER,member,8
261635,SEPTEMBER,casual,8
177071,OCTOBER,casual,9
360042,OCTOBER,member,9
264126,NOVEMBER,member,10
98392,NOVEMBER,casual,10
172401,DECEMBER,member,11
51672,DECEMBER,casual,11
